Dossier;Fichier;Fonction;Description;Crypté;Fichier appelant;Menu appelant;Bouton appelant;BDD;Statut
;PortailApplication.java;main;Méthode main;Non;;;;;Actif
config;CrmDataSourceConfig.java;crmDataSource;Configuration - crmDataSource;Non;;;;;Actif
config;CrmDataSourceConfig.java;crmJdbc;Configuration - crmJdbc;Non;;;;;Actif
config;CrmDataSourceConfig.java;crmProps;Configuration - crmProps;Non;;;;;Actif
config;CrmDataSourceConfig.java;portailDataSource;Configuration - portailDataSource;Non;;;;;Actif
config;CrmDataSourceConfig.java;portailProps;Configuration - portailProps;Non;;;;;Actif
controleurs;AuthControleur.java;connexion;API REST POST - Authentification utilisateur;Non;;;;;Actif
controleurs;DiagnosticControleur.java;listerTables;API REST GET - Consultation;Non;;;;;Actif
controleurs;InteractionControleur.java;creer;API REST POST - Création;Non;;;;;Actif
controleurs;InteractionControleur.java;lister;API REST GET - Consultation;Non;;;;;Actif
controleurs;InteractionControleur.java;listerParIntervention;API REST GET - Consultation;Non;;;;;Actif
controleurs;InteractionControleur.java;listerParTicket;API REST GET - Consultation;Non;;;;;Actif
controleurs;InteractionControleur.java;obtenir;API REST GET - Consultation;Non;;;;;Actif
controleurs;InterventionControleur.java;cloturer;API REST PUT /{id}/cloturer;Non;;;;;Actif
controleurs;InterventionControleur.java;creer;API REST POST - Création;Non;;;;;Actif
controleurs;InterventionControleur.java;lister;API REST GET - Consultation;Non;;;;;Actif
controleurs;InterventionControleur.java;listerParConsultant;API REST GET - Consultation;Non;;;;;Actif
controleurs;InterventionControleur.java;listerParTicket;API REST GET - Consultation;Non;;;;;Actif
controleurs;InterventionControleur.java;obtenir;API REST GET - Consultation;Non;;;;;Actif
controleurs;InterventionControleur.java;proposerNouvelleDate;API REST PUT /{id}/proposer-date;Non;;;;;Actif
controleurs;InterventionControleur.java;validerDate;API REST PUT /{id}/valider-date;Non;;;;;Actif
controleurs;PieceJointeControleur.java;lister;API REST GET - Consultation;Non;;;;;Actif
controleurs;PieceJointeControleur.java;listerParIntervention;API REST GET - Consultation;Non;;;;;Actif
controleurs;PieceJointeControleur.java;listerParTicket;API REST GET - Consultation;Non;;;;;Actif
controleurs;PieceJointeControleur.java;obtenir;API REST GET - Consultation;Non;;;;;Actif
controleurs;PieceJointeControleur.java;supprimer;API REST DELETE - Suppression;Non;;;;;Actif
